"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "HTML", "TypeScript React", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\.eslintrc.json", "JSON with Comments", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\.prettierrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\index.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 11, 47
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\package-lock.json", "JSON", 6295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6296
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\src\controllers\posts.ts", "TypeScript", 0, 0, 0, 263, 0, 0, 0, 0, 0, 11, 6, 280
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\src\controllers\profile.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\src\controllers\user.ts", "TypeScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 5, 129
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\src\middleware\auth.d.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\src\middleware\tokenCheck.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\src\models\comment.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 55
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\src\models\post.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 5, 65
"c:\Users\Narcis\OneDrive\Desktop\MERN\blog-MERN-typescript\backend\src\models\user.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 5, 45
